fight_id,event_id,fighter_1_id,fighter_2_id,event_date,event_year
332,27,633,1532,2025-04-26,2025
333,27,378,48,2025-04-26,2025
333,27,48,378,2025-04-26,2025
334,27,4268,3448,2025-04-26,2025
334,27,3448,4268,2025-04-26,2025
335,27,130,4170,2025-04-26,2025
335,27,4170,130,2025-04-26,2025
336,27,821,3397,2025-04-26,2025
336,27,3397,821,2025-04-26,2025
337,27,1075,660,2025-04-26,2025
337,27,660,1075,2025-04-26,2025
338,28,4198,2288,2025-04-12,2025
338,28,2288,4198,2025-04-12,2025
339,28,3142,659,2025-04-12,2025
339,28,659,3142,2025-04-12,2025
340,28,3370,1272,2025-04-12,2025
340,28,1272,3370,2025-04-12,2025
341,28,3707,2639,2025-04-12,2025
341,28,2639,3707,2025-04-12,2025
342,28,3284,2094,2025-04-12,2025
342,28,2094,3284,2025-04-12,2025
343,28,1769,4336,2025-04-12,2025
343,28,4336,1769,2025-04-12,2025
344,28,1828,4367,2025-04-12,2025
344,28,4367,1828,2025-04-12,2025
345,28,1718,2605,2025-04-12,2025
345,28,2605,1718,2025-04-12,2025
346,28,1120,1087,2025-04-12,2025
346,28,1087,1120,2025-04-12,2025
347,28,2919,1039,2025-04-12,2025
347,28,1039,2919,2025-04-12,2025
348,28,3902,3245,2025-04-12,2025
348,28,3245,3902,2025-04-12,2025
349,28,4075,1443,2025-04-12,2025
349,28,1443,4075,2025-04-12,2025
350,28,767,797,2025-04-12,2025
350,28,797,767,2025-04-12,2025
351,29,2757,1104,2025-04-05,2025
351,29,1104,2757,2025-04-05,2025
352,29,3451,467,2025-04-05,2025
352,29,467,3451,2025-04-05,2025
353,29,2201,3399,2025-04-05,2025
353,29,3399,2201,2025-04-05,2025
354,29,3966,2554,2025-04-05,2025
354,29,2554,3966,2025-04-05,2025
355,29,2953,1524,2025-04-05,2025
355,29,1524,2953,2025-04-05,2025
356,29,1214,4115,2025-04-05,2025
356,29,4115,1214,2025-04-05,2025
357,29,263,317,2025-04-05,2025
357,29,317,263,2025-04-05,2025
